dataset,regime,method,TSSR,Rbar_eff,Ubar_eff,V_R,Runtime_ms
azure,HIGH,cars,0.982091,0.944394,0.189455,0.017909,55.86
azure,HIGH,bpso_rata_la,0.785197,0.764086,0.147211,0.214803,41.56
azure,HIGH,jtora_adapted,0.79215,0.76987,0.221673,0.20785,1334.66
azure,HIGH,nfa_adapted,0.965137,0.923427,0.176467,0.034863,4157.8
azure,HIGH,reliability_only,0.809812,0.787488,0.150581,0.190188,3.4
azure,HIGH,local_only,0.730332,0.711299,0.0,0.269668,0.0
nep,HIGH,cars,0.9544,0.919478,0.172474,0.0456,21.3
nep,HIGH,bpso_rata_la,0.7774,0.756024,0.141051,0.2226,23.4
nep,HIGH,jtora_adapted,0.7896,0.766935,0.220401,0.2104,464.46
nep,HIGH,nfa_adapted,0.9668,0.925635,0.175736,0.0332,3270.28
nep,HIGH,reliability_only,0.8052,0.78309,0.145325,0.1948,0.94
nep,HIGH,local_only,0.728,0.709375,0.0,0.272,0.0
shanghai,HIGH,cars,0.98913,0.953148,0.211508,0.01087,43.5
shanghai,HIGH,bpso_rata_la,0.805797,0.784143,0.171243,0.194203,34.2
shanghai,HIGH,jtora_adapted,0.798551,0.776362,0.248086,0.201449,1123.5
shanghai,HIGH,nfa_adapted,0.983333,0.940532,0.195076,0.016667,3904.4
shanghai,HIGH,reliability_only,0.821739,0.799698,0.176317,0.178261,0.0
shanghai,HIGH,local_only,0.734783,0.715882,0.0,0.265217,0.0
